品目,数量,単位,高値,安値,主な産地,日付,元ファイル
かき,3540,1kg,3240,894,,平成31年1月17日（木）,suiexcel-1.xls
冷凍もんごいか,530,1kg,3696,864,,平成31年1月17日（木）,suiexcel-1.xls
冷凍たこ,400,1kg,2700,1296,,平成31年1月17日（木）,suiexcel-1.xls
冷凍えび,1886,1kg,4180.79792746114,972,,平成31年1月17日（木）,suiexcel-1.xls
塩さば,2812,1kg,648,432,,平成31年1月17日（木）,suiexcel-1.xls
塩さけ,1224,1kg,1052.46895424837,1052.4689542483661,,平成31年1月17日（木）,suiexcel-1.xls
塩すけそうこ,478,1kg,3589.0313479623824,1296,,平成31年1月17日（木）,suiexcel-1.xls
塩いわし,2630,1kg,504.889733840304,504.8897338403042,,平成31年1月17日（木）,suiexcel-1.xls
開干あじ,201,1kg,1080,383,,平成31年1月17日（木）,suiexcel-1.xls
若干かれい,100,1kg,1620,972,,平成31年1月17日（木）,suiexcel-1.xls
ちりめん,549,1kg,3966.54441260745,1080,,平成31年1月17日（木）,suiexcel-1.xls
かますごかまあげ,236,1kg,2332.8,1080,,平成31年1月17日（木）,suiexcel-1.xls
くろまぐろ,134,1kg,3489.833333333333,2900,,平成31年1月19日（土）,suiexcel-2.xls
きわだ,1659,1kg,2814.137566137566,1100,,平成31年1月19日（土）,suiexcel-2.xls
あじ,1070,1kg,750.0560747663551,120,,平成31年1月19日（土）,suiexcel-2.xls
さば,3705,1kg,324,216,,平成31年1月19日（土）,suiexcel-2.xls
まいわし,1400,1kg,324,216,,平成31年1月19日（土）,suiexcel-2.xls
養成ぶり,2852,1kg,1386.3595505617977,850,,平成31年1月19日（土）,suiexcel-2.xls
養成まだい,5636,1kg,2249.9959266802443,972,,平成31年1月19日（土）,suiexcel-2.xls
さごし,614,1kg,756,240,,平成31年1月19日（土）,suiexcel-2.xls
養成はまち,735,1kg,1270.1506276150626,540,,平成31年1月19日（土）,suiexcel-2.xls
養成かんぱち,2123,1kg,1792.5931232091689,648,,平成31年1月19日（土）,suiexcel-2.xls
するめいか,316,1kg,2676,756,,平成31年1月19日（土）,suiexcel-2.xls
さけ,3984,1kg,2114.0893071686023,1094,,平成31年1月19日（土）,suiexcel-2.xls
養成ふぐ,831,1kg,4414.3125,2052,,平成31年1月19日（土）,suiexcel-2.xls
たこ,130,1kg,10000,1404,,平成31年1月19日（土）,suiexcel-2.xls
かに,150,1kg,6243.946428571428,3197,,平成31年1月19日（土）,suiexcel-2.xls
はまぐり,520,1kg,1836,540,,平成31年1月19日（土）,suiexcel-2.xls
あさり,1433,1kg,1056.6153846153845,432,,平成31年1月19日（土）,suiexcel-2.xls
かき,5250,1kg,2160,864,,平成31年1月19日（土）,suiexcel-2.xls
冷凍もんごいか,408,1kg,4428,864,,平成31年1月19日（土）,suiexcel-2.xls
冷凍たこ,400,1kg,2700,1296,,平成31年1月19日（土）,suiexcel-2.xls
冷凍えび,1650,1kg,2779.84,972,,平成31年1月19日（土）,suiexcel-2.xls
塩さば,3090,1kg,648,432,,平成31年1月19日（土）,suiexcel-2.xls
塩さけ,662,1kg,2700,1146,,平成31年1月19日（土）,suiexcel-2.xls
塩すけそうこ,465,1kg,3917.1117824773414,1080,,平成31年1月19日（土）,suiexcel-2.xls
塩いわし,370,1kg,482,482,,平成31年1月19日（土）,suiexcel-2.xls
開干あじ,278,1kg,1080,70,,平成31年1月19日（土）,suiexcel-2.xls
若干かれい,100,1kg,1836,972,,平成31年1月19日（土）,suiexcel-2.xls
ちりめん,650,1kg,3456,1753,,平成31年1月19日（土）,suiexcel-2.xls
かますごかまあげ,296,1kg,1080,1047,,平成31年1月19日（土）,suiexcel-2.xls
くろまぐろ,93,1kg,4727.636363636364,2900,,平成31年1月21日（月）,suiexcel-3.xls
きわだ,1714,1kg,2479.236311239193,1080,,平成31年1月21日（月）,suiexcel-3.xls
あじ,403,1kg,627.6501240694789,336,,平成31年1月21日（月）,suiexcel-3.xls
さば,4693,1kg,370,162,,平成31年1月21日（月）,suiexcel-3.xls
まいわし,2686,1kg,324,216,,平成31年1月21日（月）,suiexcel-3.xls
養成ぶり,3817,1kg,1200.6242424242423,850,,平成31年1月21日（月）,suiexcel-3.xls
養成まだい,5190,1kg,2304.5,972,,平成31年1月21日（月）,suiexcel-3.xls
さごし,690,1kg,648,432,,平成31年1月21日（月）,suiexcel-3.xls
養成はまち,773,1kg,1356.481561822126,700,,平成31年1月21日（月）,suiexcel-3.xls
養成かんぱち,1865,1kg,1786.49419218585,1000,,平成31年1月21日（月）,suiexcel-3.xls
するめいか,630,1kg,972,864,,平成31年1月21日（月）,suiexcel-3.xls
さけ,2465,1kg,2339.3333333333335,1188,,平成31年1月21日（月）,suiexcel-3.xls
養成ふぐ,751,1kg,2808,1800,,平成31年1月21日（月）,suiexcel-3.xls
たこ,215,1kg,10000,1404,,平成31年1月21日（月）,suiexcel-3.xls
かに,198,1kg,5400,1754,,平成31年1月21日（月）,suiexcel-3.xls
はまぐり,487,1kg,1836,540,,平成31年1月21日（月）,suiexcel-3.xls
あさり,1958,1kg,1022.5728518057285,100,,平成31年1月21日（月）,suiexcel-3.xls
かき,4411,1kg,2160,648,,平成31年1月21日（月）,suiexcel-3.xls
冷凍もんごいか,428,1kg,4112,864,,平成31年1月21日（月）,suiexcel-3.xls
